team,player,colorway,size,quantity
San Antonio Spurs,Kawhi Leonard,Xmas Black,XL,0
San Antonio Spurs,Kawhi Leonard,Xmas Black,XXL,0
San Antonio Spurs,Kawhi Leonard,White Nike,L,1
San Antonio Spurs,Kawhi Leonard,White Nike,M,1
San Antonio Spurs,Kawhi Leonard,White Nike,S,1
San Antonio Spurs,Kawhi Leonard,White Nike,XL,0
San Antonio Spurs,Kawhi Leonard,White Nike,XXL,0
San Antonio Spurs,Kawhi Leonard,Black Nike,L,2
San Antonio Spurs,Kawhi Leonard,Black Nike,M,1
San Antonio Spurs,Kawhi Leonard,Black Nike,S,1
San Antonio Spurs,Kawhi Leonard,Black Nike,XL,0
San Antonio Spurs,Kawhi Leonard,Black Nike,XXL,0
Toronto Raptors,Demar Derozan,Red,L,0
Toronto Raptors,Demar Derozan,Red,M,1
Toronto Raptors,Demar Derozan,Red,S,0
Toronto Raptors,Demar Derozan,Red,XL,0
Toronto Raptors,Demar Derozan,Red,XXL,0
Toronto Raptors,Kyle Lowry,Red,L,0
Toronto Raptors,Kyle Lowry,Red,M,1
Toronto Raptors,Kyle Lowry,Red,S,0
Toronto Raptors,Kyle Lowry,Red,XL,0
Toronto Raptors,Kyle Lowry,Red,XXL,0
Toronto Raptors,Kyle Lowry,White,L,0
Toronto Raptors,Kyle Lowry,White,M,0
Toronto Raptors,Kyle Lowry,White,S,1
Toronto Raptors,Kyle Lowry,White,XL,0
Toronto Raptors,Kyle Lowry,White,XXL,0
Phoenix Suns,Devin Booker,White,L,1
Phoenix Suns,Devin Booker,White,M,1
Phoenix Suns,Devin Booker,White,S,0
Phoenix Suns,Devin Booker,White,XL,0
Phoenix Suns,Devin Booker,White,XXL,0
